id,index,bare soil,cloud cirrus,cloud high prob,cloud low prob,cloud med prob,cloud shadow,darkfeat,defect,vegetation,water,sum,cloud,cloudpercent
0,2016-01-03,,14883.0,232.0,588045.0,10105999.0,,,1.0,,840.0,10710000.0,10709159.0,99.9921475257
1,2016-01-13,12909.0,357487.0,6661.0,786996.0,9255638.0,23.0,17561.0,46333.0,32.0,226356.0,10709996.0,10406782.0,97.1688691574
2,2016-01-20,7.0,1788.0,3775.0,40396.0,68205.0,,,,,11115.0,125286.0,114164.0,91.1227112367
3,2016-01-21,30372.0,1582428.0,233444.0,3423958.0,1617953.0,25.0,,7687.0,11.0,3573779.0,10469657.0,6857783.0,65.5015059233
4,2016-01-28,,,59779.0,577109.0,9851584.0,1480.0,5655.0,853.0,,3592.0,10500052.0,10488472.0,99.8897148319
5,2016-02-12,27579.0,147.0,543582.0,772030.0,1082944.0,3880626.0,753257.0,778051.0,1140130.0,1731272.0,10709618.0,2398703.0,22.3976522785
6,2016-03-11,17924.0,18.0,30.0,859107.0,1148056.0,3949772.0,618459.0,417301.0,1154110.0,2340061.0,10504838.0,2007211.0,19.107491234
7,2016-03-20,5733.0,,46.0,1532714.0,5024420.0,965252.0,348585.0,200872.0,791147.0,1551037.0,10419806.0,6557180.0,62.9299624196
8,2016-03-23,5615.0,48783.0,19206.0,646530.0,7203516.0,638766.0,683427.0,232342.0,409654.0,822160.0,10709999.0,7918035.0,73.931239396
9,2016-04-03,,,2087250.0,2497111.0,3099497.0,1728778.0,1125.0,15307.0,694574.0,586358.0,10710000.0,7683858.0,71.7447058824
10,2016-04-13,1122.0,332.0,64589.0,1793951.0,7044328.0,599895.0,95497.0,69715.0,85522.0,955049.0,10710000.0,8903200.0,83.1297852474
11,2016-04-19,10727.0,983.0,676.0,569473.0,5567740.0,2134907.0,908606.0,130527.0,444086.0,694845.0,10462570.0,6138872.0,58.6746086287
12,2016-04-22,344.0,,3139811.0,3026953.0,304211.0,2774304.0,9961.0,19937.0,840860.0,593619.0,10710000.0,6470975.0,60.4199346405
13,2016-04-29,20151.0,21.0,36847.0,274388.0,647280.0,6548378.0,348496.0,126109.0,2195096.0,312914.0,10509680.0,958536.0,9.12050604776
14,2016-05-02,8348.0,30.0,1233088.0,660675.0,740089.0,5491390.0,417294.0,106895.0,1617747.0,434442.0,10709998.0,2633882.0,24.5927403535
15,2016-05-10,13061.0,,336746.0,67756.0,36738.0,7473883.0,9081.0,28527.0,2455213.0,106085.0,10527090.0,441240.0,4.19147171726
16,2016-05-22,16026.0,31.0,1270322.0,62400.0,34005.0,7138853.0,7295.0,29149.0,2053993.0,97884.0,10709958.0,1366758.0,12.7615626504
17,2016-05-29,4349.0,,1301858.0,1126921.0,667512.0,5705057.0,26072.0,32634.0,1396824.0,252410.0,10513637.0,3096291.0,29.4502368686
18,2016-06-08,,,15229.0,1653211.0,8698068.0,11986.0,,23.0,1380.0,100132.0,10480029.0,10366508.0,98.9167873486
19,2016-06-18,2169.0,11075.0,173958.0,1111890.0,4397116.0,3358605.0,86536.0,25149.0,503377.0,756677.0,10426552.0,5694039.0,54.6109490462
20,2016-06-28,2390.0,555.0,914551.0,1697146.0,2707580.0,3554241.0,139766.0,26596.0,599588.0,781186.0,10423599.0,5319832.0,51.0364222568
21,2016-07-02,11535.0,497.0,41.0,267665.0,963936.0,8136457.0,351358.0,59029.0,618124.0,301341.0,10709983.0,1232139.0,11.5045840876
22,2016-07-14,11926.0,10.0,4414.0,36610.0,22500.0,9141591.0,5648.0,26865.0,1148831.0,64892.0,10463287.0,63534.0,0.607208805417
23,2016-07-18,5070.0,77800.0,5292.0,855163.0,4440858.0,2910125.0,360699.0,74630.0,855737.0,900589.0,10485963.0,5379113.0,51.2982260189
24,2016-07-21,102.0,16.0,95138.0,1622399.0,3312337.0,3494168.0,75007.0,30320.0,755542.0,1324970.0,10709999.0,5029890.0,46.9644301554
25,2016-07-28,4713.0,18854.0,526585.0,1018373.0,5622427.0,1913978.0,274996.0,49374.0,646072.0,430239.0,10505611.0,7186239.0,68.4038177313
26,2016-07-30,4713.0,18854.0,526585.0,1018373.0,5622427.0,1913978.0,274996.0,49374.0,646072.0,430239.0,10505611.0,7186239.0,68.4038177313
27,2016-08-07,23934.0,35.0,27.0,180189.0,375794.0,6906898.0,308788.0,75485.0,2434581.0,214801.0,10520532.0,556045.0,5.28533157829
28,2016-08-17,16451.0,13.0,11.0,94028.0,149211.0,7351470.0,102533.0,46370.0,2607833.0,146158.0,10514078.0,243263.0,2.31368837096
29,2016-08-20,2333.0,,3575154.0,5068260.0,999917.0,773921.0,4036.0,6172.0,263572.0,16626.0,10709991.0,9643331.0,90.0405145065
30,2016-08-28,22120.0,7.0,2.0,34196.0,18195.0,7669846.0,5558.0,26074.0,2640109.0,98245.0,10514352.0,52400.0,0.498366423342
