Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
8,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
4160,,,,0.2135021016,,,,,,,,,,2.71009318034,,,,,,
8256,0.446395346274,0.433892980218,0.362136832128,0.385275955002,0.308144112428,0.251035731907,0.359350974361,0.271972743173,0.327744364738,0.251175877949,2.20195893447,2.16380254428,2.3029901584,2.3774741888,2.43868398666,2.71148308118,2.37192662557,2.48984535535,2.42762684822,2.6095178922
12352,0.670146624247,0.654357651869,0.569789767265,0.599443117778,0.455966442823,0.42036280036,0.52212318778,0.458430995544,0.517834881941,0.378955091039,1.80137221018,1.68724238873,1.83726378282,1.88487704595,2.11844317118,2.40981419881,2.05156111717,2.14326298237,2.05268963178,2.29296541214
14016,,,,,0.510769883792,,,,,,,,,,1.99444929759,,,,,
16448,,,,,0.568606654803,,,,,,,,,,1.8706155618,,,,,
20544,,,,,0.602840264638,,,,,,,,,,1.77778160572,,,,,
24640,0.748173932234,0.786339004834,0.729717711608,0.75120049715,0.626791536808,0.673340936502,0.648601392905,0.690039853255,0.651641746362,0.596321662267,1.33727165063,1.29896716277,1.41349883874,1.36113886038,1.64959804217,1.69135979811,1.66719698906,1.6017849048,1.63635985057,1.82592300574
28736,0.781864861647,0.790948033333,0.768351197243,0.769355356693,0.665099382401,0.722646137079,0.677066306273,0.693972726663,0.698475619157,0.610605021318,1.22969122728,1.19987066587,1.24624256293,1.26420148214,1.52613914013,1.4718867143,1.51343723138,1.55263710022,1.54587646325,1.77177361647
32832,0.802090227604,0.794701119264,0.789246757825,0.78499041001,0.6900938948,0.721105277538,0.677416543166,0.658870697021,0.691929499308,0.593441327413,1.12220724424,1.14033925533,1.13051986694,1.16861871878,1.43099121253,1.40564131737,1.48465863864,1.56273762385,1.51855051517,1.75120949745
36928,0.809718271097,0.804609219233,0.809531509876,0.811880747477,0.699553747972,0.73524338007,0.714782416821,0.687578221162,0.685359279315,0.63086716334,1.01832403739,1.04109040896,1.03671989838,1.03815501928,1.41287147999,1.3626512289,1.35026411215,1.47679885228,1.50892301401,1.66415405273
41024,0.814321378867,0.817451675733,0.828565855821,0.842018683751,0.718568603198,0.732406715552,0.742826799552,0.696820815404,0.673062185446,0.657615085443,0.956430157026,0.960128486156,0.93695529302,0.920485476653,1.31888302167,1.33470213413,1.27717049917,1.39812620481,1.44659189383,1.56693375111
45120,0.813830375671,0.820306777954,0.822824776173,0.856823921204,0.737861394882,0.745758990447,0.789505223433,0.708903809388,0.696502943834,0.694320062796,0.932157258193,0.926492333412,0.923518359661,0.843965609868,1.23087525368,1.24677519004,1.12861347198,1.317811052,1.37131563822,1.4977487723
49216,0.808048665524,0.816516836484,0.818979720275,0.837387402852,0.779049913088,0.761645873388,0.782280286153,0.748315135638,0.728585064411,0.689185917377,0.907011409601,0.929074704647,0.88691820701,0.82540512085,1.09073863427,1.17281126976,1.10768632094,1.18568485975,1.25316373507,1.45270518462
